Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,SW,No,No,0:17,0:20,,
Swimming,FS,Stimulus,FSC,Yes,No,0:20,0:33,,
Swimming,FS,Stimulus,FNW,Yes,No,0:33,0:37,,
Swimming,FS,Stimulus,FSC,Yes,No,0:37,0:40,,
Swimming,FS,Stimulus,FNW,Yes,No,0:40,0:42,,
Swimming,FS,Stimulus,FSC,Yes,No,0:42,0:45,,
Swimming,FS,Stimulus,FNW,Yes,No,0:45,0:53,,
Swimming,FS,Stimulus,FSC,Yes,No,0:53,0:55,,
Swimming,FS,Stimulus,FNW,Yes,No,0:55,1:06,,
Swimming,FS,Stimulus,FSC,Yes,No,1:06,1:10,,
Swimming,FS,Stimulus,FNW,Yes,No,1:10,1:16,,
Swimming,FS,Stimulus,FSC,Yes,No,1:16,1:18,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:18,1:27,,
Swimming,FS,Stimulus,FSC,Yes,No,1:27,1:30,,
Swimming,FS,Stimulus,SW,Yes,No,1:30,1:43,,
Sitting,FS,Stimulus,SW,Yes,Yes,1:43,2:01,,
Sitting,FS,Stimulus,SW,Yes,No,2:01,2:05,,
Swimming,FS,Stimulus,BNW,No,No,2:05,2:12,,
Swimming,FS,Stimulus,BNW,No,Yes,2:12,2:15,,
Sitting,FS,Stimulus,BNW,No,Yes,2:15,2:28,,
Swimming,BS,Stimulus,BNW,No,Yes,2:28,2:33,,
Sitting,BS,Stimulus,BSC,No,No,2:33,2:37,,
Swimming,BS,Stimulus,BSC,No,No,2:37,2:39,,
Swimming,BS,Stimulus,SW,Yes,No,2:39,2:41,,
Sitting,BS,Stimulus,BSC,No,No,2:41,2:45,,
Sitting,BS,Stimulus,BSC,No,Yes,2:45,2:51,,
Swimming,BS,Stimulus,BSC,No,Yes,2:51,2:57,,
Sitting,BS,Stimulus,BSC,No,No,2:57,2:59,,
Swimming,BS,Stimulus,SW,Yes,No,2:59,3:00,,
Swimming,BS,Stimulus,SW,Yes,No,0:00,0:04,,
Swimming,FS,Stimulus,SW,Yes,No,0:04,0:11,,
Swimming,FS,Stimulus,FNW,Yes,No,0:11,0:26,,
Swimming,FS,Stimulus,FSC,Yes,No,0:26,0:31,,
Swimming,FS,Stimulus,FNW,Yes,No,0:31,0:37,,
Sitting,FS,Stimulus,FNW,Yes,No,0:37,0:48,,
Swimming,FS,Stimulus,FNW,Yes,No,0:48,0:50,,
Swimming,FS,Stimulus,CW,No,No,0:50,0:56,,
