Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,FNW,No,No,0:16,0:19,,
Swimming,FC,Control,FCC,No,No,0:19,0:27,,
Swimming,FC,Control,CW,No,No,0:27,0:30,,
Swimming,FC,Control,CW,Yes,No,0:30,0:40,,
Sitting,FC,Control,CW,Yes,No,0:40,0:55,,
Swimming,FC,Control,CW,Yes,No,0:55,1:03,,
Sitting,FC,Control,BNW,No,No,1:03,1:09,,
Swimming,BC,Control,BNW,No,No,1:09,1:13,,
Swimming,BC,Control,BCC,Yes,No,1:13,1:19,,
Swimming,BC,Control,BNW,Yes,No,1:19,1:28,,
Swimming,BC,Control,BCC,Yes,No,1:28,1:36,,
Swimming,BC,Control,CW,Yes,No,1:36,1:41,,
Swimming,FC,Control,FNW,No,No,1:41,1:44,,
Swimming,FC,Control,FNW,Yes,No,1:44,1:46,,
Swimming,FC,Control,FCC,Yes,No,1:46,1:48,,
Swimming,FC,Control,FNW,Yes,No,1:48,1:55,,
Swimming,FC,Control,FCC,Yes,No,1:55,1:59,,
Swimming,FC,Control,FNW,Yes,No,1:59,2:01,,
Swimming,FC,Control,FCC,Yes,No,2:01,2:08,,
Sitting,FC,Control,FNW,Yes,Yes,2:08,3:00,,
Sitting,FC,Control,FNW,Yes,Yes,0:00,0:01,,
Sitting,FC,Control,FNW,Yes,No,0:01,0:07,,
Swimming,FC,Control,FNW,Yes,No,0:07,0:11,,
Swimming,FC,Control,FCC,Yes,No,0:11,0:23,*Really small movements,
Swimming,FC,Control,FNW,Yes,No,0:23,0:30,,
Swimming,FC,Control,FCC,Yes,No,0:30,0:34,,
Swimming,FC,Control,FNW,Yes,No,0:34,0:50,,
Swimming,FC,Control,FCC,Yes,No,0:50,0:53,,
Swimming,FC,Control,FNW,Yes,No,0:53,1:00,,
Swimming,FC,Control,FCC,Yes,No,1:00,1:04,,
Swimming,FC,Control,FNW,Yes,No,1:04,1:22,,
Sitting,FC,Control,FNW,Yes,No,1:22,2:16,,
