Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,
Sitting,Center,Center,FNW,No,No,0:17,1:40,
Swimming,FC,Control,CW,No,No,1:40,1:53,*Did not move very fall at all
Swimming,FC,Control,FCC,No,No,1:53,2:04,
Sitting,FC,Control,FCC,No,No,2:04,2:06,
Swimming,FC,Control,FCC,No,No,2:06,2:17,
Swimming,FC,Control,CW,No,No,2:17,2:20,
Swimming,FC,Control,CW,Yes,No,2:20,2:24,
Sitting,FC,Control,CW,Yes,No,2:24,2:26,
Swimming,FC,Control,CW,Yes,No,2:26,2:34,
Sitting,FC,Control,CW,Yes,No,2:34,2:37,
Swimming,FC,Control,CW,Yes,No,2:37,2:40,
Sitting,FC,Control,CW,Yes,No,2:40,2:43,
Swimming,FC,Control,CW,Yes,No,2:43,2:57,
Swimming,FC,Control,FCC,Yes,No,2:57,3:00,
Swimming,FC,Control,FCC,Yes,No,0:00,0:02,
Swimming,FC,Control,FNW,Yes,No,0:02,0:28,*All movements are very sluggish
Swimming,FS,Stimulus,FNW,Yes,No,0:28,0:46,
Swimming,FS,Stimulus,FSC,Yes,No,0:46,0:50,
Swimming,FS,Stimulus,FNW,Yes,No,0:50,1:03,
Sitting,FS,Stimulus,FNW,Yes,No,1:03,1:06,
Swimming,FC,Control,FNW,Yes,No,1:06,1:17,
Swimming,FC,Control,FCC,Yes,No,1:17,1:22,
Swimming,FC,Control,FNW,Yes,No,1:22,1:30,
Swimming,FS,Stimulus,FNW,Yes,No,1:30,1:48,
Swimming,FC,Control,FNW,Yes,No,1:48,1:54,
Sitting,FC,Control,FNW,Yes,Yes,1:54,1:59,
Swimming,FC,Control,FNW,Yes,No,1:59,2:02,
Swimming,FC,Control,FCC,Yes,No,2:02,2:09,
Swimming,FC,Control,FNW,Yes,No,2:09,2:11,
Swimming,FC,Control,FCC,Yes,No,2:11,2:17,
