Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:17,0:56,"*I didn't set this turtle directly in the middle, so it's really close to the FNW",
Sitting,Center,Center,FNW,No,Yes,0:56,1:51,,
Swimming,FS,Stimulus,FNW,No,Yes,1:51,1:53,,
Sitting,FS,Stimulus,FNW,No,Yes,1:53,2:00,,
Swimming,FS,Stimulus,FNW,No,Yes,2:00,2:02,,
Swimming,FS,Stimulus,SW,No,No,2:02,2:05,,
Sitting,FS,Stimulus,SW,No,Yes,2:05,2:14,,
Swimming,FS,Stimulus,SW,No,Yes,2:14,2:16,,
Swimming,FS,Stimulus,FSC,No,No,2:16,2:17,,
Swimming,FS,Stimulus,FSC,No,Yes,2:17,2:21,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:21,2:23,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:23,2:25,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:25,2:47,,
Swimming,FS,Stimulus,FNW,Yes,No,2:47,2:53,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:53,3:00,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:00,0:01,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:01,0:03,,
Swimming,FS,Stimulus,FNW,Yes,No,0:03,0:06,"*This really isn't swimming, more like rocking back and forth",
Sitting,FS,Stimulus,FNW,Yes,Yes,0:06,0:08,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:08,0:11,,
Swimming,FS,Stimulus,FNW,Yes,No,0:11,0:15,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:15,0:20,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:20,0:22,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:22,0:26,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:26,0:32,,
Swimming,FS,Stimulus,FSC,Yes,No,0:32,0:34,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:34,0:36,,
Sitting,FS,Stimulus,FSC,Yes,Yes,0:36,0:38,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:38,0:40,,
Swimming,FS,Stimulus,FSC,Yes,No,0:40,0:42,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:42,0:45,,
Swimming,FS,Stimulus,FSC,Yes,No,0:45,0:49,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:49,0:54,,
Swimming,FS,Stimulus,FSC,Yes,No,0:54,0:59,,
Sitting,FS,Stimulus,FSC,Yes,Yes,0:59,1:01,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:01,1:02,,
Swimming,FS,Stimulus,FSC,Yes,No,1:02,1:04,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:04,1:06,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:06,1:08,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:08,1:09,,
Swimming,FS,Stimulus,FSC,Yes,No,1:09,1:10,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:10,1:11,,
Sitting,FS,Stimulus,FNW,Yes,Yes,1:11,1:15,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:15,1:16,,
Sitting,FS,Stimulus,FNW,Yes,Yes,1:16,1:18,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:18,1:19,,
Swimming,FS,Stimulus,FNW,Yes,No,1:19,1:22,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:22,1:25,,
Swimming,FS,Stimulus,FSC,Yes,No,1:25,1:28,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:28,1:31,,
Swimming,FS,Stimulus,FSC,Yes,No,1:31,1:34,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:34,1:36,,
Swimming,FS,Stimulus,FSC,Yes,No,1:36,1:37,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:37,1:39,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:39,1:40,,
Swimming,FS,Stimulus,FNW,Yes,No,1:40,1:42,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:42,1:46,,
Swimming,FS,Stimulus,FSC,Yes,No,1:46,1:48,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:48,1:49,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:49,2:03,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:03,2:04,,
Swimming,FS,Stimulus,FSC,Yes,No,2:04,2:06,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:06,2:09,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:09,2:10,,
Swimming,FS,Stimulus,FSC,Yes,No,2:10,2:16,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:16,2:17,,
