Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:19,2:53,,
Swimming,Center,Center,FNW,No,No,2:53,2:54,,
Sitting,Center,Center,FNW,No,Yes,2:54,3:00,,
Sitting,Center,Center,FNW,No,Yes,0:00,0:01,,
Sitting,Center,Center,FNW,No,No,0:01,0:04,,
Swimming,FC,Control,FNW,No,No,0:04,0:12,,
Swimming,FC,Control,FNW,Yes,No,0:12,0:16,,
Swimming,FS,Stimulus,FNW,Yes,No,0:16,0:30,,
Swimming,FS,Stimulus,FSC,Yes,No,0:30,0:44,,
Sitting,FS,Stimulus,FSC,Yes,Yes,0:44,2:19,,
