Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:17,1:52,,
Swimming,FC,Control,FNW,No,No,1:52,1:59,,
Swimming,FC,Control,FNW,Yes,No,1:59,2:05,,
Sitting,FC,Control,FNW,Yes,Yes,2:05,2:08,,
Swimming,FC,Control,FNW,Yes,No,2:08,2:16,,
Swimming,FS,Stimulus,FNW,Yes,No,2:16,2:19,,
Sitting,FS,Stimulus,FNW,Yes,No,2:19,2:22,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:22,2:31,,
Sitting,FS,Stimulus,FNW,Yes,No,2:31,3:00,,
Sitting,FS,Stimulus,FNW,Yes,No,0:00,1:55,,
Swimming,FS,Stimulus,FNW,Yes,No,1:55,2:05,*Barely moved,
Sitting,FS,Stimulus,FNW,Yes,No,2:05,2:12,,
Swimming,FS,Stimulus,FNW,Yes,No,2:12,2:17,*Barely moved,
