Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,FS,Stimulus,FNW,Yes,No,0:21,0:48,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:48,1:34,,
Swimming,FS,Stimulus,FNW,Yes,No,1:34,1:36,,
Swimming,FS,Stimulus,CW,No,No,1:36,1:40,,
Swimming,FC,Control,CW,No,No,1:40,1:44,,
Sitting,FC,Control,FCC,No,Yes,1:44,1:56,,
Swimming,FC,Control,CW,No,No,1:56,2:07,,
Swimming,FC,Control,FCC,Yes,No,2:07,2:16,,
Swimming,FC,Control,FNW,Yes,No,2:16,2:29,,
Swimming,FS,Stimulus,FNW,Yes,No,2:29,2:37,,
Swimming,FS,Stimulus,FSC,Yes,No,2:37,2:44,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:44,3:00,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:00,0:32,,
Swimming,FS,Stimulus,FNW,Yes,No,0:32,0:36,,
Swimming,FS,Stimulus,FSC,Yes,No,0:36,0:43,,
Swimming,FS,Stimulus,SW,Yes,No,0:43,0:48,,
Swimming,BS,Stimulus,SW,Yes,No,0:48,0:52,,
Swimming,BS,Stimulus,BSC,Yes,No,0:52,0:59,,
Sitting,BS,Stimulus,BSC,Yes,Yes,0:59,2:21,,
