"Turtle","Trial","time","treatment","Species","Side","Behavior"
"1000","Prelim_Trial","48","0","fmt","Stimulus","Swimming"
"1000","Trial_1","73","0","fmt","Stimulus","Swimming"
"1000","Trial_2","24","0","fmt","Stimulus","Swimming"
"1000","Trial_3","49","0","fmt","Stimulus","Swimming"
"107","Prelim_Trial","150","0.1","fmt","Stimulus","Swimming"
"107","Trial_2","32","0.1","fmt","Stimulus","Swimming"
"107","Trial_3","244","0.1","fmt","Stimulus","Swimming"
"108","Trial_3","179","0.1","fmt","Stimulus","Swimming"
"109","Prelim_Trial","53","0","fmt","Stimulus","Swimming"
"109","Trial_1","31","0","fmt","Stimulus","Swimming"
"109","Trial_2","155","0","fmt","Stimulus","Swimming"
"109","Trial_3","219","0","fmt","Stimulus","Swimming"
"111","Trial_1","100","1","fmt","Stimulus","Swimming"
"111","Trial_2","94","1","fmt","Stimulus","Swimming"
"111","Trial_3","23","1","fmt","Stimulus","Swimming"
"112","Prelim_Trial","118","10","fmt","Stimulus","Swimming"
"112","Trial_1","73","10","fmt","Stimulus","Swimming"
"112","Trial_2","13","10","fmt","Stimulus","Swimming"
"112","Trial_3","229","10","fmt","Stimulus","Swimming"
"113","Prelim_Trial","96","0","fmt","Stimulus","Swimming"
"113","Trial_1","71","0","fmt","Stimulus","Swimming"
"113","Trial_2","30","0","fmt","Stimulus","Swimming"
"113","Trial_3","117","0","fmt","Stimulus","Swimming"
"114","Prelim_Trial",NA,"1","fmt","Stimulus","Swimming"
"114","Trial_2","122","1","fmt","Stimulus","Swimming"
"115","Prelim_Trial","25","0","fmt","Stimulus","Swimming"
"115","Trial_1","78","0","fmt","Stimulus","Swimming"
"115","Trial_2","16","0","fmt","Stimulus","Swimming"
"115","Trial_3","28","0","fmt","Stimulus","Swimming"
"116","Prelim_Trial","5","1","fmt","Stimulus","Swimming"
"116","Trial_1","46","1","fmt","Stimulus","Swimming"
"116","Trial_2","10","1","fmt","Stimulus","Swimming"
"116","Trial_3","74","1","fmt","Stimulus","Swimming"
"117","Prelim_Trial","144","1","fmt","Stimulus","Swimming"
"117","Trial_1","179","1","fmt","Stimulus","Swimming"
"117","Trial_2","39","1","fmt","Stimulus","Swimming"
"117","Trial_3","172","1","fmt","Stimulus","Swimming"
"119","Prelim_Trial","9","0","fmt","Stimulus","Swimming"
"120","Prelim_Trial","274","0","fmt","Stimulus","Swimming"
"120","Trial_1","43","0","fmt","Stimulus","Swimming"
"120","Trial_2","79","0","fmt","Stimulus","Swimming"
"120","Trial_3","48","0","fmt","Stimulus","Swimming"
"121","Prelim_Trial","83","0.1","fmt","Stimulus","Swimming"
"121","Trial_1","95","0.1","fmt","Stimulus","Swimming"
"121","Trial_2","143","0.1","fmt","Stimulus","Swimming"
"121","Trial_3","5","0.1","fmt","Stimulus","Swimming"
"122","Prelim_Trial","28","0.1","fmt","Stimulus","Swimming"
"122","Trial_2","137","0.1","fmt","Stimulus","Swimming"
"123","Prelim_Trial","96","0","fmt","Stimulus","Swimming"
"123","Trial_1","74","0","fmt","Stimulus","Swimming"
"123","Trial_2","76","0","fmt","Stimulus","Swimming"
"123","Trial_3","71","0","fmt","Stimulus","Swimming"
"124","Trial_1","119","0","fmt","Stimulus","Swimming"
"124","Trial_2","244","0","fmt","Stimulus","Swimming"
"124","Trial_3","35","0","fmt","Stimulus","Swimming"
"125","Prelim_Trial","20","1","fmt","Stimulus","Swimming"
"125","Trial_2","52","1","fmt","Stimulus","Swimming"
"126","Prelim_Trial","102","1","fmt","Stimulus","Swimming"
"126","Trial_1","101","1","fmt","Stimulus","Swimming"
"126","Trial_2","124","1","fmt","Stimulus","Swimming"
"127","Prelim_Trial","162","10","fmt","Stimulus","Swimming"
"127","Trial_1","58","10","fmt","Stimulus","Swimming"
"127","Trial_2","105","10","fmt","Stimulus","Swimming"
"127","Trial_3","18","10","fmt","Stimulus","Swimming"
"128","Prelim_Trial","145","0.1","fmt","Stimulus","Swimming"
"128","Trial_1","152","0.1","fmt","Stimulus","Swimming"
"128","Trial_2","206","0.1","fmt","Stimulus","Swimming"
"129","Trial_3","6","0.1","fmt","Stimulus","Swimming"
"130","Prelim_Trial","48","0.1","fmt","Stimulus","Swimming"
"130","Trial_1","22","0.1","fmt","Stimulus","Swimming"
"130","Trial_2","63","0.1","fmt","Stimulus","Swimming"
"130","Trial_3","66","0.1","fmt","Stimulus","Swimming"
"131","Trial_1","33","1","fmt","Stimulus","Swimming"
"131","Trial_2","75","1","fmt","Stimulus","Swimming"
"131","Trial_3","49","1","fmt","Stimulus","Swimming"
"132","Trial_1","5","0.1","fmt","Stimulus","Swimming"
"132","Trial_3","22","0.1","fmt","Stimulus","Swimming"
