"id","Behavior","Quadrant","Side","Wall_Corner_Facing","Touching_Wall","Head_Up","Start_Time","End_Time","Trial","Turtle","total_seconds","treatment","experiment_group"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Sitting","FS","Stimulus","FSC","Yes","No",00:14:00,00:20:00,"Prelim_Trial","2000",6,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Swimming","FS","Stimulus","FSC","Yes","No",00:20:00,00:24:00,"Prelim_Trial","2000",4,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Swimming","FS","Stimulus","SW","Yes","No",00:24:00,00:26:00,"Prelim_Trial","2000",2,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Swimming","FS","Stimulus","FSC","Yes","No",00:26:00,00:28:00,"Prelim_Trial","2000",2,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Swimming","FS","Stimulus","SW","Yes","No",00:28:00,00:31:00,"Prelim_Trial","2000",3,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Swimming","BS","Stimulus","SW","Yes","No",00:31:00,00:34:00,"Prelim_Trial","2000",3,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Swimming","FS","Stimulus","SW","Yes","No",00:34:00,00:37:00,"Prelim_Trial","2000",3,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Swimming","FS","Stimulus","FSC","Yes","No",00:37:00,00:43:00,"Prelim_Trial","2000",6,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Sitting","FS","Stimulus","FSC","Yes","No",00:43:00,00:45:00,"Prelim_Trial","2000",2,"1","4"
"C:/Users/annak/OneDrive/Documents/GitHub/IMI_Chemical_Cue_Detection/data/painted_turtles/Cp_2000_PT.csv","Sitting","FS","Stimulus","FSC","Yes","Yes",00:45:00,00:51:00,"Prelim_Trial","2000",6,"1","4"
