Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:22,0:30,,
Swimming,FC,Control,FNW,Yes,Yes,0:30,0:34,,
Swimming,FC,Control,FCC,Yes,Yes,0:34,0:35,,
Swimming,FC,Control,FNW,Yes,Yes,0:35,0:38,,
Swimming,FC,Control,FCC,Yes,Yes,0:38,0:40,,
Swimming,FC,Control,FCC,Yes,No,0:40,0:44,,
Swimming,FC,Control,FNW,Yes,No,0:44,0:50,,
Swimming,FC,Control,FNW,Yes,Yes,0:50,0:55,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:55,1:00,,
Swimming,FS,Stimulus,FNW,Yes,No,1:00,1:04,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:04,1:14,,
Swimming,FS,Stimulus,FNW,Yes,No,1:14,1:18,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:18,1:21,,
Swimming,FC,Control,FNW,Yes,Yes,1:21,1:28,,
Swimming,FC,Control,FCC,Yes,Yes,1:28,1:31,,
Swimming,FC,Control,FNW,Yes,No,1:31,1:36,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:36,1:44,,
Swimming,FS,Stimulus,FNW,Yes,No,1:44,1:47,,
Swimming,FS,Stimulus,FSC,Yes,No,1:47,1:48,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:48,1:53,,
Swimming,FC,Control,FNW,Yes,Yes,1:53,1:57,,
Swimming,FC,Control,FCC,Yes,No,1:57,1:58,,
Swimming,FC,Control,FNW,Yes,No,1:58,2:01,,
Swimming,FC,Control,FNW,Yes,Yes,2:01,2:03,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:03,2:07,,
Swimming,FS,Stimulus,FNW,Yes,No,2:07,2:12,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:12,2:19,,
Swimming,FC,Control,FNW,Yes,Yes,2:19,2:20,,
Swimming,FC,Control,FNW,Yes,No,2:20,2:22,,
Swimming,FC,Control,FNW,Yes,Yes,2:22,2:24,,
Swimming,FC,Control,FCC,Yes,Yes,2:24,2:28,,
Swimming,FC,Control,FCC,Yes,No,2:28,2:33,,
Swimming,FC,Control,FCC,Yes,Yes,2:33,2:42,,
Swimming,FC,Control,FNW,Yes,No,2:42,2:46,,
Swimming,FC,Control,FNW,Yes,Yes,2:46,2:54,,
Swimming,FC,Control,FCC,Yes,Yes,2:54,2:57,,
Swimming,FC,Control,FNW,Yes,No,2:57,3:02,,
Swimming,FC,Control,FNW,Yes,Yes,3:02,3:04,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:04,3:16,,
Swimming,FC,Control,FNW,Yes,No,3:16,3:19,,
Swimming,FC,Control,FCC,Yes,No,3:19,3:23,,
Swimming,FC,Control,FCC,Yes,Yes,3:23,3:31,,
Swimming,FC,Control,FNW,Yes,No,3:31,3:32,,
Swimming,FC,Control,FCC,Yes,No,3:32,3:39,,
Swimming,FC,Control,FNW,Yes,Yes,3:39,3:45,,
Swimming,FC,Control,FCC,Yes,No,3:45,3:49,,
Swimming,FC,Control,FCC,Yes,Yes,3:49,4:03,,
Swimming,FC,Control,FCC,Yes,No,4:03,4:07,,
Swimming,FC,Control,FCC,Yes,Yes,4:07,4:13,,
Swimming,FC,Control,FCC,Yes,No,4:13,4:18,,
Swimming,FC,Control,FCC,Yes,Yes,4:18,4:29,,
Swimming,FC,Control,FCC,Yes,No,4:29,4:34,,
Swimming,FC,Control,FCC,Yes,Yes,4:34,4:39,,
Swimming,FC,Control,FCC,Yes,No,4:39,4:44,,
Swimming,FC,Control,FNW,Yes,Yes,4:44,4:53,,
Swimming,FC,Control,FNW,Yes,No,4:53,4:55,,
Swimming,FS,Stimulus,FNW,Yes,No,4:55,4:57,,
Swimming,FS,Stimulus,FNW,Yes,Yes,4:57,5:01,,
Swimming,FC,Control,FNW,Yes,Yes,5:01,5:03,,
Swimming,FC,Control,FNW,Yes,No,5:03,5:04,,
Swimming,FC,Control,FCC,Yes,No,5:04,5:08,,
Swimming,FC,Control,FNW,Yes,No,5:08,5:12,,
Swimming,FS,Stimulus,FNW,Yes,No,5:12,5:14,,
Swimming,FS,Stimulus,FNW,Yes,Yes,5:14,5:22,,
,,,,,,,,,
,,,,,,,,,
