Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,BS,Stimulus,BNW,Yes,No,1:08,1:12,,
Sitting,BS,Stimulus,BSC,No,No,1:12,1:14,,
Swimming,BS,Stimulus,BSC,No,No,1:14,1:38,*BARELY SWIMMING - JUST PATHETIC LEG MOVEMENTS THAT AREN'T ACTUALLY PROPELLING THE TURTLE ANYWHERE,
Sitting,BS,Stimulus,BSC,No,No,1:38,3:00,,
Swimming,BS,Stimulus,BSC,No,No,3:00,3:02,,
Swimming,FS,Stimulus,SW,Yes,No,3:02,3:06,,
Swimming,FS,Stimulus,FSC,No,No,3:06,3:10,,
Swimming,FS,Stimulus,FSC,Yes,No,3:10,3:40,,
Swimming,FS,Stimulus,FNW,Yes,No,3:40,3:44,,
Swimming,FS,Stimulus,FSC,Yes,No,3:44,3:55,,
Sitting,FS,Stimulus,FSC,Yes,No,3:55,4:35,,
Swimming,FS,Stimulus,FSC,Yes,No,4:35,4:55,*BARELY SWIMMING - JUST PATHETIC LEG MOVEMENTS THAT AREN'T ACTUALLY PROPELLING THE TURTLE ANYWHERE,
Sitting,FS,Stimulus,FSC,Yes,No,4:55,5:01,,
Swimming,FS,Stimulus,FSC,Yes,No,5:01,5:17,,
Swimming,FS,Stimulus,FNW,Yes,No,5:17,5:41,,
Swimming,FS,Stimulus,FSC,Yes,No,5:41,5:44,,
Swimming,FS,Stimulus,FNW,Yes,No,5:44,5:47,,
Swimming,FS,Stimulus,FSC,Yes,No,5:47,5:50,,
Swimming,FS,Stimulus,FNW,Yes,No,5:50,6:06,,
Swimming,FS,Stimulus,FSC,Yes,No,6:06,6:08,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
