Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,SW,Yes,No,0:18,0:23,,
Swimming,FS,Stimulus,FSC,Yes,No,0:23,0:33,,
Swimming,FS,Stimulus,FNW,Yes,No,0:33,0:34,,
Swimming,FS,Stimulus,FSC,Yes,No,0:34,0:40,,
Swimming,FS,Stimulus,FNW,Yes,No,0:40,0:45,,
Swimming,FS,Stimulus,FSC,Yes,No,0:45,0:47,,
Swimming,FS,Stimulus,FNW,Yes,No,0:47,0:59,,
Swimming,FS,Stimulus,FSC,Yes,No,0:59,1:00,,
Swimming,FS,Stimulus,FNW,Yes,No,1:00,1:08,,
Swimming,FS,Stimulus,FSC,Yes,No,1:08,1:10,,
Swimming,FS,Stimulus,SW,Yes,No,1:10,1:13,,
Sitting,FS,Stimulus,SW,Yes,No,1:13,1:24,,
Swimming,FS,Stimulus,BNW,No,No,1:24,1:25,,
Sitting,BS,Stimulus,BNW,No,No,1:25,1:31,,
Sitting,BS,Stimulus,BNW,No,Yes,1:31,1:53,,
Swimming,BS,Stimulus,BNW,No,No,1:53,1:55,,
Swimming,BS,Stimulus,BNW,Yes,No,1:55,1:56,,
Swimming,BS,Stimulus,BSC,Yes,No,1:56,1:59,,
Swimming,BS,Stimulus,BNW,Yes,No,1:59,2:00,,
Swimming,BS,Stimulus,BSC,Yes,No,2:00,2:03,,
Swimming,BS,Stimulus,BNW,Yes,No,2:03,2:05,,
Swimming,BS,Stimulus,BSC,Yes,No,2:05,2:07,,
Swimming,BS,Stimulus,BNW,Yes,No,2:07,2:08,,
Swimming,BS,Stimulus,BSC,Yes,No,2:08,2:10,,
Swimming,BS,Stimulus,BNW,Yes,No,2:10,2:16,,
Swimming,BC,Control,BNW,Yes,No,2:16,2:19,,
Swimming,BC,Control,BNW,Yes,Yes,2:19,2:21,,
Sitting,BC,Control,BNW,Yes,Yes,2:21,3:43,,
Swimming,BC,Control,BNW,Yes,No,3:43,3:46,,
Swimming,BC,Control,BCC,Yes,No,3:46,3:50,,
Swimming,BC,Control,BNW,Yes,No,3:50,3:53,,
Swimming,BC,Control,BCC,Yes,No,3:53,4:07,,
Swimming,BC,Control,BCC,Yes,Yes,4:07,4:16,,
Swimming,BC,Control,BCC,Yes,No,4:16,4:21,,
Swimming,BC,Control,BNW,Yes,No,4:21,4:25,,
Swimming,BC,Control,BCC,Yes,No,4:25,4:32,,
Swimming,BC,Control,CW,Yes,No,4:32,4:33,,
Swimming,BC,Control,CW,Yes,Yes,4:33,4:35,,
Swimming,BC,Control,CW,Yes,No,4:35,4:38,,
Swimming,FC,Control,FCC,No,Yes,4:38,4:40,,
Sitting,FC,Control,FCC,No,Yes,4:40,4:55,,
Swimming,FC,Control,FNW,No,No,4:55,4:56,,
Swimming,FC,Control,FCC,Yes,No,4:56,4:59,,
Swimming,FC,Control,FNW,Yes,No,4:59,5:07,,
Swimming,FC,Control,FCC,Yes,No,5:07,5:09,,
Swimming,FC,Control,FNW,Yes,No,5:09,5:11,,
Swimming,FC,Control,FCC,Yes,No,5:11,5:12,,
Swimming,FC,Control,FNW,Yes,No,5:12,5:18,,
,,,,,,,,,
,,,,,,,,,
