Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,FNW,Yes,No,0:21,0:23,,
Swimming,FC,Control,FNW,Yes,Yes,0:23,0:28,,
Swimming,FC,Control,FCC,Yes,Yes,0:28,0:29,,
Swimming,FC,Control,FNW,Yes,No,0:29,0:31,,
Swimming,FC,Control,FNW,Yes,Yes,0:31,0:33,,
Swimming,FC,Control,FCC,Yes,No,0:33,0:34,,
Swimming,FC,Control,FCC,Yes,Yes,0:34,0:35,,
Swimming,FC,Control,FNW,Yes,No,0:35,0:37,,
Swimming,FC,Control,FNW,Yes,Yes,0:37,0:38,,
Swimming,FC,Control,FNW,Yes,No,0:38,0:39,,
Swimming,FC,Control,CW,Yes,No,0:39,0:41,,
Swimming,BC,Control,CW,Yes,No,0:41,0:42,,
Swimming,BC,Control,BCC,Yes,No,0:42,0:43,,
Swimming,BC,Control,BNW,Yes,Yes,0:43,0:51,,
Sitting,BC,Control,BNW,Yes,Yes,0:51,0:53,,
Swimming,BC,Control,BCC,Yes,No,0:53,0:54,,
Swimming,BC,Control,CW,Yes,No,0:54,0:56,,
Swimming,FC,Control,CW,Yes,No,0:56,0:57,,
Swimming,FC,Control,FNW,Yes,Yes,0:57,1:00,,
Swimming,FC,Control,FNW,Yes,No,1:00,1:10,,
Sitting,FC,Control,SW,No,Yes,1:10,1:23,,
Swimming,FC,Control,SW,No,Yes,1:23,1:24,,
Swimming,FS,Stimulus,FNW,Yes,No,1:24,1:25,,
Swimming,FS,Stimulus,SW,No,No,1:25,1:26,,
Swimming,FS,Stimulus,BNW,No,No,1:26,1:28,,
Swimming,BS,Stimulus,BNW,No,Yes,1:28,1:29,,
Swimming,BC,Control,BNW,No,Yes,1:29,1:31,,
Swimming,BC,Control,CW,No,Yes,1:31,1:32,,
Swimming,BC,Control,CW,No,No,1:32,1:33,,
Swimming,BC,Control,CW,No,Yes,1:33,1:36,,
Swimming,BC,Control,CW,Yes,No,1:36,1:37,,
Swimming,FC,Control,FNW,No,No,1:37,1:38,,
Swimming,FC,Control,FNW,Yes,No,1:38,1:42,,
Swimming,FC,Control,FNW,Yes,Yes,1:42,1:44,,
Swimming,FC,Control,FNW,Yes,No,1:44,1:50,,
Swimming,FS,Stimulus,FNW,Yes,No,1:50,1:51,,
Swimming,FS,Stimulus,SW,No,No,1:51,1:52,,
Swimming,FS,Stimulus,SW,No,Yes,1:52,1:55,,
Swimming,FS,Stimulus,FNW,Yes,No,1:55,1:59,,
Swimming,FS,Stimulus,SW,Yes,No,1:59,2:00,,
Swimming,FS,Stimulus,SW,Yes,Yes,2:00,2:01,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:01,2:04,,
Swimming,FS,Stimulus,FNW,Yes,No,2:04,2:07,,
Swimming,FC,Control,FNW,Yes,Yes,2:07,2:13,,
Swimming,FC,Control,FNW,Yes,No,2:13,2:18,,
Swimming,FS,Stimulus,FNW,Yes,No,2:18,2:19,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:19,2:21,,
Swimming,FC,Control,CW,No,Yes,2:21,2:23,,
Swimming,FC,Control,FNW,No,No,2:23,2:24,,
Swimming,FC,Control,FNW,Yes,Yes,2:24,2:26,,
Swimming,FC,Control,FCC,Yes,Yes,2:26,2:27,,
Swimming,FC,Control,FCC,Yes,No,2:27,2:28,,
Swimming,FC,Control,FNW,Yes,No,2:28,2:33,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:33,2:36,,
Swimming,FC,Control,CW,No,No,2:36,2:39,,
Swimming,FC,Control,FNW,Yes,Yes,2:39,2:44,,
Sitting,FC,Control,FNW,Yes,Yes,2:44,3:20,,
Swimming,FC,Control,FNW,Yes,Yes,3:20,3:25,,
Swimming,FC,Control,FNW,Yes,No,3:25,3:27,,
Swimming,FC,Control,FNW,Yes,Yes,3:27,3:30,,
Swimming,FC,Control,FNW,Yes,No,3:30,3:34,,
Swimming,FC,Control,FNW,Yes,Yes,3:34,3:35,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:35,3:37,,
Swimming,FS,Stimulus,SW,No,No,3:37,3:38,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:38,3:44,,
Sitting,FS,Stimulus,FNW,Yes,Yes,3:44,3:49,,
Swimming,FS,Stimulus,FNW,Yes,Yes,3:49,3:50,,
Swimming,FS,Stimulus,FNW,Yes,No,3:50,3:51,,
Swimming,FS,Stimulus,CW,No,No,3:51,3:52,,
Swimming,FC,Control,CW,No,Yes,3:52,3:54,,
Swimming,FC,Control,FNW,Yes,Yes,3:54,3:56,,
Swimming,FC,Control,FNW,Yes,No,3:56,3:58,,
Swimming,FC,Control,FCC,Yes,Yes,3:58,4:01,,
Swimming,FC,Control,CW,Yes,Yes,4:01,4:03,,
Swimming,FC,Control,BNW,No,Yes,4:03,4:04,,
Swimming,BC,Control,BNW,No,Yes,4:04,4:05,,
Swimming,BC,Control,BNW,Yes,No,4:05,4:12,,
Swimming,BC,Control,BNW,Yes,Yes,4:12,4:14,,
Sitting,BC,Control,BNW,No,Yes,4:14,4:22,,
Sitting,BC,Control,SW,No,Yes,4:22,4:24,,
Swimming,BC,Control,FNW,No,No,4:24,4:26,,
Swimming,FC,Control,FSC,No,Yes,4:26,4:28,,
Swimming,FS,Stimulus,SW,No,Yes,4:28,4:30,,
Swimming,FS,Stimulus,BSC,No,Yes,4:30,4:31,,
Swimming,BS,Stimulus,BSC,No,Yes,4:31,4:32,,
Swimming,BS,Stimulus,SW,No,No,4:32,4:34,,
Swimming,FS,Stimulus,FNW,No,No,4:34,4:35,,
Swimming,FS,Stimulus,FNW,No,Yes,4:35,4:36,,
Swimming,FS,Stimulus,FNW,Yes,Yes,4:36,4:40,,
Swimming,FS,Stimulus,FNW,Yes,No,4:40,4:42,,
Swimming,FC,Control,FNW,Yes,No,4:42,4:44,,
Swimming,FC,Control,FCC,No,Yes,4:44,4:45,,
Swimming,FC,Control,FNW,Yes,Yes,4:45,4:47,,
Swimming,FC,Control,FNW,Yes,No,4:47,4:48,,
Swimming,FC,Control,FNW,Yes,Yes,4:48,4:55,,
Swimming,FC,Control,FNW,Yes,No,4:55,4:57,,
Swimming,FS,Stimulus,FNW,Yes,Yes,4:57,5:06,,
Swimming,FS,Stimulus,FNW,Yes,No,5:06,5:09,,
Swimming,FS,Stimulus,FNW,Yes,Yes,5:09,5:14,,
Swimming,FS,Stimulus,FNW,Yes,No,5:14,5:18,,
Swimming,FC,Control,FNW,Yes,No,5:18,5:19,,
Swimming,FC,Control,FNW,Yes,Yes,5:19,5:21,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
