"Species","treatment","Trial",".epred",".lower",".upper",".width",".point",".interval"
"fmt","0","Prelim_Trial",35.2131092327765,22.2614569648377,57.075234567353,0.95,"median","qi"
"fmt","0","Trial_1",17.9449201916214,11.1647914657738,31.1542181056857,0.95,"median","qi"
"fmt","0","Trial_2",44.2742495012848,26.5423128532222,77.3493221819738,0.95,"median","qi"
"fmt","0","Trial_3",29.9060364626878,16.0708368039533,57.7222221560176,0.95,"median","qi"
"fmt","0.1","Prelim_Trial",38.4469560060488,21.868014788865,74.4784433901064,0.95,"median","qi"
"fmt","0.1","Trial_1",15.842122157234,7.01650518671139,42.8874351002629,0.95,"median","qi"
"fmt","0.1","Trial_2",57.2416991814771,31.2811246861382,113.755228131422,0.95,"median","qi"
"fmt","0.1","Trial_3",53.8762298845402,26.7003648191469,122.732826565199,0.95,"median","qi"
"fmt","1","Prelim_Trial",42.1440770939328,23.1712423245623,80.8460985023582,0.95,"median","qi"
"fmt","1","Trial_1",25.2006022414449,13.7790630253551,50.8455673787841,0.95,"median","qi"
"fmt","1","Trial_2",40.8134122697975,24.0378170602837,74.5842645706625,0.95,"median","qi"
"fmt","1","Trial_3",44.2896830957945,21.2703271615533,105.082758422119,0.95,"median","qi"
"fmt","10","Prelim_Trial",41.883104577613,25.7804247889115,72.608817313911,0.95,"median","qi"
"fmt","10","Trial_1",27.0346557065892,13.1264201592222,63.4059170552092,0.95,"median","qi"
"fmt","10","Trial_2",49.7781941201007,27.5395260867546,98.7812032472464,0.95,"median","qi"
"fmt","10","Trial_3",41.8868276547902,17.8624640504273,116.60995510993,0.95,"median","qi"
"painted","0","Prelim_Trial",38.0510192963131,24.7596434798446,61.2692567105952,0.95,"median","qi"
"painted","0","Trial_1",24.4228218724403,14.5802493061383,44.003747658566,0.95,"median","qi"
"painted","0","Trial_2",43.5632427822765,25.5170062423485,80.4202311535007,0.95,"median","qi"
"painted","0","Trial_3",29.6522483556118,17.3592878873117,55.5475781299967,0.95,"median","qi"
"painted","0.1","Prelim_Trial",31.7349351977152,17.2808246246821,64.2100011561378,0.95,"median","qi"
"painted","0.1","Trial_1",45.5038016660409,23.8160395353222,97.189350252138,0.95,"median","qi"
"painted","0.1","Trial_2",42.6267445992296,25.3797478832646,75.57124327908,0.95,"median","qi"
"painted","0.1","Trial_3",30.6108218563025,17.1678877369988,59.9399091410698,0.95,"median","qi"
"painted","1","Prelim_Trial",38.5672995883191,22.9830081076085,68.7776508564102,0.95,"median","qi"
"painted","1","Trial_1",40.2288426483891,22.7540227355423,78.5022238373891,0.95,"median","qi"
"painted","1","Trial_2",29.9763449538957,17.337218137373,55.7093444415997,0.95,"median","qi"
"painted","1","Trial_3",47.2513102197022,28.1066082813594,87.0303327329692,0.95,"median","qi"
"painted","10","Prelim_Trial",55.986072164397,34.0733994203226,95.8014784307594,0.95,"median","qi"
"painted","10","Trial_1",49.886794931814,23.751897503277,129.994944133515,0.95,"median","qi"
"painted","10","Trial_2",52.9642634078733,29.785264291197,103.633653296565,0.95,"median","qi"
"painted","10","Trial_3",57.5410132622373,29.0233116958002,130.049663710731,0.95,"median","qi"
