"Species","treatment","Trial",".epred",".lower",".upper",".width",".point",".interval"
"fmt","0","Prelim_Trial",71.689444601672,46.6528947639712,115.963056332654,0.95,"median","qi"
"fmt","0","Trial_1",57.8079454637706,35.0366281726479,99.6973409664387,0.95,"median","qi"
"fmt","0","Trial_2",76.5600531382053,45.4042797963022,134.976818850348,0.95,"median","qi"
"fmt","0","Trial_3",65.4394395631684,39.4833084604804,117.257709452216,0.95,"median","qi"
"fmt","0.1","Prelim_Trial",70.4980386136353,41.412574446562,129.011324308904,0.95,"median","qi"
"fmt","0.1","Trial_1",60.8083656860861,29.9784487472102,142.591645097804,0.95,"median","qi"
"fmt","0.1","Trial_2",91.5751777221096,49.5350110003435,190.025106257266,0.95,"median","qi"
"fmt","0.1","Trial_3",69.8264946572876,38.662630893284,139.992505787927,0.95,"median","qi"
"fmt","1","Prelim_Trial",58.9020377445007,32.8397467388822,111.847472200175,0.95,"median","qi"
"fmt","1","Trial_1",63.5329975328583,36.2458527643469,125.93732119842,0.95,"median","qi"
"fmt","1","Trial_2",68.0543578805026,40.8479912191338,122.653734663565,0.95,"median","qi"
"fmt","1","Trial_3",64.8640581968774,32.6588906532786,146.341311179752,0.95,"median","qi"
"fmt","10","Prelim_Trial",82.0361101540476,49.8364974231171,144.200725859555,0.95,"median","qi"
"fmt","10","Trial_1",62.0733370173356,35.3440435731176,118.490682339419,0.95,"median","qi"
"fmt","10","Trial_2",77.8389058138375,41.0587040605852,162.97983856121,0.95,"median","qi"
"fmt","10","Trial_3",53.3606915586214,27.0060925318264,117.724501602621,0.95,"median","qi"
"painted","0","Prelim_Trial",95.5626661018063,60.7272576248389,155.903440478382,0.95,"median","qi"
"painted","0","Trial_1",89.2790472816087,52.880611062381,160.186864204517,0.95,"median","qi"
"painted","0","Trial_2",104.721802180433,60.856965099939,195.951382171958,0.95,"median","qi"
"painted","0","Trial_3",107.536373363566,63.1341995742754,202.651591374117,0.95,"median","qi"
"painted","0.1","Prelim_Trial",60.0864337827635,33.6686628408164,118.504256206965,0.95,"median","qi"
"painted","0.1","Trial_1",95.9060309935076,50.5530434538952,202.979734680095,0.95,"median","qi"
"painted","0.1","Trial_2",70.9192935295464,41.3048520913696,131.512885467622,0.95,"median","qi"
"painted","0.1","Trial_3",67.836237390122,37.0682333878378,141.980965884459,0.95,"median","qi"
"painted","1","Prelim_Trial",86.1979212524764,51.8012022220611,158.80868141848,0.95,"median","qi"
"painted","1","Trial_1",118.381076750878,70.6435905636344,220.544349215501,0.95,"median","qi"
"painted","1","Trial_2",72.690730658616,42.3515027285319,137.887684344579,0.95,"median","qi"
"painted","1","Trial_3",124.944835541438,73.2170832235574,233.044383190543,0.95,"median","qi"
"painted","10","Prelim_Trial",99.3912265067539,58.8457625981133,179.23279507409,0.95,"median","qi"
"painted","10","Trial_1",94.966998951835,42.8022424462828,256.960553952844,0.95,"median","qi"
"painted","10","Trial_2",104.19897565838,61.7006330635682,195.239284051836,0.95,"median","qi"
"painted","10","Trial_3",123.083160670804,65.4724297820585,259.276774998358,0.95,"median","qi"
